ExComp,ExAddress,ExCountry,ExComm,ExHSCode,ExDept,ExFName,ExLName,ExJobTitle,ExEmail,ExPhone,ExMobile,ExWA,ExLinkedIn,ExURL
jinhua solid tools,no 11 bolian rd qiubin ind zone jinhua china 315000 cn / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
ningbo sedunotex,10 huangsu dong road dongqianhu town yinzhou ningbo china / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
hongkang sun risetrade,ups scs china limited shanghai br anch on behalf of hongkang sun risetrading ltd unit 3b 5 f far east c onsortium building 121 voeux road c / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
nantong changbangglove,ups scs china limited shanghai br anch on behalf of nantong changbangglove co ltd no 100 buzhong road c aobu town rudong county jiangsu chi / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
suzhou hongren window decorations,no 2 gugang road taicang city jiangsu china / China,China,"Bamboos used primarily for plaiting | Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",140110 | 262060,,,,,,,,,,
wenzhou fangchi international trade,ltd caodai guoxi ouhai wenzhou china jinzhou industry zone / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
shanghai secc electronic components,unit m 16/f kaikai plaza no 888 wa nhangdu rd shanghai 200042 china tobe continued1 / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
hp,c/o tech-front chongqing computer no 18 zongbao road shapingba district chongqing 401332 china / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
wenzhou wellest import export,l second floor and second building no 6 heping road li ao town wenzhou cn / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
shanghai hancheng international trade,rm1105 no258 1 yong xing road shanghai cn / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
all filtration technologies suzhou,no 2 middle of dongnan rd tangshi office economic suzhou china / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
china arts hangzhou import export,room 1104-1105 no 2 baiyun building no 176 hangzhou china / China,China,"Peppers (Capsicum, Pimenta) (Fresh/Chilled) | Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060 | 70960,,,,,,,,,,
yf global trade,tax 0774-5671621 no180 jianshe dongguangxi china tax 91451100348543874 / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
ningbo peaceportimportexp,4 5 th fl tianyuan bldg no 9 jiefang rd ningbo china / China,China,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262060,,,,,,,,,,
shandong dawn international trade,longkou development zone longkou shandong china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
jinan yuxing chemical,jinan chemical industry park jinan china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
fanssi products,yizhao tech-park no 5 hengzhong ro ad zengtian chang an dongguan 523 850 china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
laiyang junjie foodstuff,west xinzhuang village guliu officelaiyang 37 265200 cn / China,China,Apples (Fresh) | Titanium ores and concentrates,261400 | 80810,,,,,,,,,,
yancheng glassman arts crafts,7-4 airport road yandong development zone yancheng jiangsu cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
henan billions chemicals,zhongzhan district jiaozuo city henanprovince 450008 china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
anhui herrman impex,16th flr bldg c fortune plaza no 287 sui xi rd hefei cn / China,China,Palm nuts and kernels | Titanium ores and concentrates,120710 | 261400,,,,,,,,,,
langfang baiyue industrial and trade,1509 building b langfang development mansion yongfengdao guangyang district he china 065000 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
ningbo xinfu chemical marketing,no 2 yuejin road chemical industrial zone zhenhai ningbo zhejiang china 315204 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shenzhen adhoc trade,rm 1703 no 157 east baoxing road hongkou district shanghai 200080 p r china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
botou longsheng fruit,longhua street botou city cangzhou hebei china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
qingdao rhine film culture media,room 501 unit 7 no 46 dongping road / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shandong dawn titanium industrial,longkou development zone / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
hangzhou reking import export,rm101 loft power park building no 2no 28 xiangyuan road hangzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
nantong goldenbell sporting goods,a-1201 nantong mansion 20 renmin rd nantong jiangsu china 22 6001 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
inter china chemical,1st floor no c19 building zusp dingistrict jingshiwu road zhenjiang jiangsu china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yangzhou kingsway,f 2 kingsley bldg no 683 middle of yangzijiang road yangzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
guangzhou titanos industrial,no 1 pubei road yunpu industry area huangpu district guangzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yunnan dahutong titanium industr 20th flr bldg a hecheng guoj,road hi-tech zone kunming yunnan china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yunnan dahutong titanium industrial,20th flr bldg a hecheng guo 1088 haiyuan road hi-tech zone kunmyunnan china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shanghai jiuta chemical,room1217 building 5 jiangqiao wan no 26 hexuan road shanghai 201800 shanghai china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
panzhihua dongfang titanium industr,yizhishan vanadium and titanium industrial park miyi panzhihua city sichuan china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shanghai tengmin industrial,r730 no 1855 cao an road jiading district shanghai china post code 201824 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
nanjing titanium industrial international,229 east da wei road nanjing chemical industry park china t 86 25 5836 6559 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yunnan metallurgical xinli titanium,no 363 nanda road shanghai china cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
panzhihua dongfang titanium industrial,yizhishan vanadium and titanium industrial park miyi panzhihua city sichuan china 617201 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shandong jinhai titanium resources technology,chengkou wudi binzhou shandong china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
beijing zhong jing weiimport exportinformation,block d 8 laye08a37 haidian district beijing cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
china botou dong fang fruit,hexi jinma small section botou he china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
ningbo xinfu chemical,no 2 yuejin road chemical industr y zone zhenhai 2 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shanghai wave imp/exp ltd,room 1507 he yuan enterprise square no 2993 gong he xin road shanghai china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
nanjing titanium ind intl,229 east dawei road nanjing chemical industry park nanjing china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shengzhou sanye household,yiwu industrial area changle 86 575 83783288 shengzhou312400 cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
nanjing titanium industrial internati,229 dawei rd east chemical park nanjing 210047 cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
chengdu bailin bona technology,a-2504 kaixuan center 722 jiann chengdu sc china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
changyi huamei plastic,dongsheng square kuiwen district / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
nanjing titanium industrial,229 east dawei road nanjing chemical industry park china nanjing 210000 china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yantai shengfeng foodstuffs lt,no 199 the east of longmen road laiyang shandong china shandong china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
ninghai xinjia plastic products ningbo,road futain district shenzhen chinaguangdong / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
wenzhou jiabo crafts,136 haiyua rd binhai new industrial zone pingyang wenzhou zhejiang / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
qingdao kinfengnong import export lt,no 955-8 yanqing road jimo town qingdao qingdao cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
careddi technology,add no 315 middle jiangdong rd nanjing city jiangsu province nanjing city jiangsu province cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
jining shangzhuo food,yingcui international yingcui road jining shandong china / China,China,Garlic (Fresh/Chilled) | Titanium ores and concentrates,261400 | 70320,,,,,,,,,,
shaoxing yuan ru yuan textile,chengwan village keyan street keqiao district shaoxing china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yancheng aoyu jewelry and craft,no 1 baiyun road dongyang city zhejiang china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
jie yang jiedong yicheng art china,yin hua village xinheng town jiedong gd 515500 china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
ygm trade,room 903 no 8 119lane east rong huan dao shanghai chinatel 021-62196031 / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
yunnan dahutong titanium industrial c 20th,floor buld a hech-eng guoji yunnan china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
ningbo universal dragon i/e lt,d 9/f kirin mansion 1539 tiantong north road ningbo china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shenzhen ghaoze technology,guangming new district shenzhen guangdong china mainland / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
hebei jinzhou great wall eco trade,mayu heibei jinzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
changzhou kingcattle abrasives,no 11 lijiang road xixiashu town xinbei district changzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
runqiang jewelry machanistic tools,no 290 changshou dong road guangzhou china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shanghai tengmin industrial lt,d shanghai china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shanghai youngpower international trade,rm 604 no 1 lane 288 zhong hua xin rd shanghai cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
fame best group,limited lingang industry working district qingdao cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
chemik,2225 55 yunshi street ningbo ningbo china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
lomon billions group,zhongzhan district jiaozuo city henjiaozuo 454150 cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
walro electronic,room 309 3f 5179 yiyuan rd baoan district shenzhen city guangdong cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
qingdao xinjiangyuan power technolo,tieshan industrial park qingdao c qingdao shandong 266433 hk / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
hangzhou riwa chemical,rm 702 bldg 2 no 458 jincheng road hangzhou zhejiang cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
sr international,rm 403 2 hua du yuan xing yue rd ke qiao shao xing zhejiang china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shenzhen sheng sheng trade lt,rm2104 block e department square tower shennan dong road shenzhen guangdong 518000 china / China,China,Asparagus (Fresh/Chilled) | Titanium ores and concentrates,261400 | 70920,,,,,,,,,,
shanghai foreign trade pudong,1862 gaoke w rd 8th floor shanghai 200125 cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
anhui light industries intl,alic center 8 tianda road hefei anhui cn hefei anhui cn / China,China,"Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia) | Titanium ores and concentrates",10612 | 261400,,,,,,,,,,
hangzhou todaytec digital,hangzhou 311106 600 kangxin road qianjiang economic development zone linping / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
botou dongfang fruit,hexi jinma small section 062150 botou hebei china / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
tongcheng yuli abrasive belt tra,8/f block a yuanchen intern bldg no 324 qingnian road hankou distr wuhan hubei 430015 cn / China,China,Titanium ores and concentrates,261400,,,,,,,,,,
shen zhen shi haoxiang hui tong trading,shenzhen - buji street changlong second quate one lane no 5 r longgang district / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
china mineral processing,b 13a the mansion of triumphal arch no66 nanjing road tianjincn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
tianjin mingtai new materials technology,rm3-9-302 shifujiayuan 2nd str teda tianjin ch ch / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
huang he minerals,22-2-101 fenghuangcheng qixiangtai tianjin 12 300074 china / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
cmp tianjin,rm b 138 the mansion of triumphial arch 66 nanjing road tanjin ta cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
argosy xac composite material,no 54 west people s road xian china / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shenyang starlight advanced,14 jia-3 no 5 road shenyang ecomomiand technological development zone shenyang china china mainland / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shenzhen taihuaxing trade,shenzhen 81 floor 1 building 2 b area of yanziling jiuniu guangdong province / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shenzhen heng yongshun trade,no 9010 shennan avenue nanshan distshenzhen cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shanxi ruifutai minerals,floor west building 187 xinjian road taiyuan cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shenyang starlight advanced ceramic,14 jia-3 no 5 road shenyang economic and technological developm / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
minchem international,rm3-9-302 shifujiayuan 2nd sta teda tianjin cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
qingdao hiworld molten steel contro,27f haiya building donghai road qi qingdao 266000 cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
mainland mineral refractory,2-2-602 tianfa keji yuan 4 rongyuan / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
qingdao hiworld molten steel control,27f haiya buildingb inhai garden 33 west donghai rd qingdao china qingdao shandong china / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shanghai feikang machine electric,no 3259 huhang road zhelin town / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shanghai leader marine,suite 616 cimic tower no 1090 cent pu dong new area shanghai cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
mintex international,rm2a 2-f china super market 32-34 tudor st cf11 6ah gb / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
xinmi wanli industrial development,no 4wenhua road henan xinmi city cn 452370 / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
thyssenkrupp raw materials tianjin tainjin 14a the intl development,building no 2 dongting road cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
thyssenkrupp metalurical products 14a the international development bldg,no 2 dongting road teda tianjin cn cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
sinocean industrial co ltd,rm 2203 bldg 1 area 3 greenland center erqi dist zhengzhou city p r c 450000 china / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
china mineral energy,room1-1511 jingcai masion no 459 hexi district tianjin china 300000 / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
xiao yi mao tai minerals,no 3 zhenxing jie xiao yi city cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
easton trade (shanghai),shanghai rm 809 no 1518 zhangyang rd pudong / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
pacific refractories ltd (po poruchen cofermin rohstoffe gmbh co kg),no 4 tianyi park no 1 century avenue tianjin cn / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
pacific refractories ltd,offic add no 4 tianyi park no 1 c entury avenue xiqing economic deve / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
youth- jet global supply chain management lim,pudong shanghai 2506 a globe plaza 18 taolin road / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
kitay(beijing) international trading,kowloon 707-713 nathan road mongkok unit a6 9/f silvercorp international tower / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
cofermi,tianjin 300385 no 1 century avenue no 4 tianyi park xiqing economic development area / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
gmg international trading,chuangyuan center no 21-1changjiang road / China,China,Aluminium ores and concentrates,260600,,,,,,,,,,
shanghai jinhu activated carbon,4166 huaxu road huaxin town qingpu district s shanghai cn / China,China,Unagglomerated Iron Ore Concentrate (Excl. Iron Pyrites),260111,,,,,,,,,,
songxian exploiter molybdenum,jiudian village deting town songcounty luoyang china 471434 / China,China,"Mineral substances, nes",253090,,,,,,,,,,
m/s songxian exploiter molybdenum,co ltd jiudian village deting to wn song country luoyang china china / China,China,"Mineral substances, nes",253090,,,,,,,,,,
deli group corp,room 602 qingji building xi qingdistrict tianjin china / China,China,"Mineral substances, nes | Plants for Perfumery, Pharmacy, or Insecticides (Fresh/Dried)",121190 | 253090,,,,,,,,,,
feel stones,/ China,China,"Mineral substances, nes",253090,,,,,,,,,,
m/s torrecid (suzhou) frits glazes,and colours co ltd no 427 suhong ea st road suzhou industrial park 21 5123 suzhou china china / China,China,"Mineral substances, nes",253090,,,,,,,,,,
dalian heqi imp and exp,dalian 116001 no 9 zhigong street zhongshan district / China,China,"Mineral substances, nes",253090,,,,,,,,,,
xinyu klory industrial mineral,xiannvhu district jiangxi province xinyu city yangtiangang management committee / China,China,"Mineral substances, nes",253090,,,,,,,,,,
m/s xuzhou zhuoyuan water technolo,gy co ltd no 10 wujiang rd yitang industrial park pizhou jiangsu / China,China,"Mineral substances, nes",253090,,,,,,,,,,
lingshou jiaqi mineral process fact,ory yanchuan industrial zones lin gshou shijiazhuang city hebei pr / China,China,"Mineral substances, nes",253090,,,,,,,,,,
dalian gaoteng intl trdg,78 luxun rd zhongsan dist dalian china / China,China,"Mineral substances, nes",253090,,,,,,,,,,
xinyu south wollastonite,renhe town xinyu city jiangxi china 338021 china / China,China,"Mineral substances, nes",253090,,,,,,,,,,
yiwu m f import and export,street 7 changchun district / China,China,"Mineral substances, nes",253090,,,,,,,,,,
ningbo winnprime import and export,ningheng road / China,China,"Mineral substances, nes",253090,,,,,,,,,,
yadong trade (h k),flat /rm 1701 henan bldg 90 jaffe road wanchai / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
jiangsu sainty techowear ltd,21 software avenue nanjing 32 210000 cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
m/s sino metal mineral limite,d regd off suite 1101 11/f supreme house 2a hart avenue tst kowloon ho / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
chinatex international apparel,no 68 dongsishitiao ping-an developmansion beijing china t 01084086668beijing cn / China,China,"Chocolate Products (Contains Cocoa, >2kg) | Fluorspar, >97% calcium fluoride",180620 | 252922,,,,,,,,,,
china national chemical westzhong c,room 805 sansheng plaza no 358 hanjiang road yangzhou china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
maxon (hong kong ) trading,room 1401 cambridge house 26-28 c ameron road tsimshatsui kowloon / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
shanghai eastern textiles import export,1302 south eastern building no 150 e shanghai 200122 china shanghai cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
jiangsu heben biochemical,second tonghai road yangkou chemical industrial area nantong jiangsu province 226407 / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
maxon(hong kong) trading,room 1401 cambridge hous e 26-28cameron road tsimshatsui kowloon honhk / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
fotiles ceramics,1 queen's road centralhong konghong kong / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
sino metal mineral co,suite 1101 11/f supreme house 2a hart avenue tst kowloon / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
m/s sino metal mineral limit,ed suite 1101 11/f supreme house 2a hart avenue tst kowloon hong / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
hope wen minerals,flat 1801a 18 flr hongkong commeric bldg 145 hennessy hongkong / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
yadong trade (h k ),flat/rm/1701 henan bldg 90faffe road wanchai / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
hebei jianan seals technology,no 103 pujiang street qinghe county xingtai city hebei province china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
high hope intl group newest,199 hongwu road nanjing jiangsu china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
haining tengli trade,no 2 jingdu er road haining city zhejiang china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
ningbo ning luck import export,no 27 bldg 4 qiming rd no 818 yinzhou dist ningbo 315400 cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
canada minerals trade tianjin c 12b internationaldevelopment,building 2 dongting road teda tianjin 300457 china tianjintj3004557 cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
zhuji wuyang import export lt,135 rd wuxie road wuxie town zhuji zhejiang china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
anghai eastern textiles imp,1302 south eastern building no 15 00 century avenue shanghai 200122 china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
qingao yijia jiahua textilesimportan,no 15 yi dong hai xi road qingdao cqingdao cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
shaoxing keqiao mulinsheng trade wufeng village hutang,street shaoxishaoxing zhejiang 312000 cn / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
dachang plastic hardware processing,jiaoyitang management area tangxia town / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
anhui ruifeng agrochemical,11/f huilong mansion no 1777 qimen rd hefei china hefei china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
zhongshan bihui lighting,no 23 lefeng sixth road xin mao industry zone sisha henglan town zhongshan chi city guangdong china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
bc1 group,hondland textile bldg 3rd floor no 11 qi an road junan town shunde district foshan city guangdong china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
cosmoss vu,unit a 7th floor success comm bldg 245-251 hennessy road / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
renhe international industrial limi,ted c-1108 wanda plaza 57 jinbin road hedong district tianjin chi / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
m/s yadong trade (h k),flat/rm 1701 henan bldg 90 jafee ro ad wanchai / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
luoyang aurora minechem co,rm2401-1 2 zhengda plaza no 123 changxing street luyoang city henan proviance china china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
kangcheng industries,limite d no 8 chengzhong middle road yiwu china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
hangzhou sinor chemical industrial,room2601 building no2 mansion shangcheng district hangzhou china / China,China,"Fluorspar, >97% calcium fluoride",252922,,,,,,,,,,
sandip baid,146/2 old china bazar street 5th floor room no 42 / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
china national minerals,beijing 100044 no 5 sanlihe road haidian district / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
prosperity resources,china / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
m/s liaoning aihai talc,fanjiapu mafeng haicheng liaoning 114200 chinachina / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
liaoning aihai talc,fanjiapu mafeng haicheng liaoning / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
haicheng yisheng minerals manufacturing,sanli economic development zone da / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
hefei longbin chemistry,no 103 science road hefei city anh / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
china haicheng city pin yang talc mining,/ China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
hiacheng xinnuoxier mining industry,china / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
haicheng xinnuoxier mining industry,liyu village bali town haicheng city liaoning province china / China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
xinju import exporta (dalian) co,/ China,China,"Natural steatite, crushed or powdered",252620,,,,,,,,,,
liaoning aihai talc,fanjiapu mafeng haicheng haicheng cn / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
linkason tech,235 shangnan road shajing town baoan district of the shenzhen cityshenzhen china / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
kisco industrial trade dlftz,id-51 free trade zone dalian china / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
haicheng no2 talc powder factory,no 627 yangjiadian village pailou / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
qingdao kaite embroidery products cshandong,damco on behalf of qingdao kaite embroidery products cshandong road 46 rm 1005 huayu mansion 266000 qingdao china / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
dalian golden sun import export,zhongshan dist dalian no 55 renmin asia pacific finance centre 7fl cn / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
rizhao sunny trade,no 29 anju building taoyuan north zone juxian county rizhao china / China,China,"Natural steatite, not crushed or powdered | Rusks, toasted bread and similar toasted products",190540 | 252610,,,,,,,,,,
qingdao eastbourne trade,no 492 qingdao road / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
nanning xintex industrial,room b 22 fl jinlu commercial centr89 minzu ave nanning guangxi chin / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
haicheng,pal-lo town haicheng city liaoning china / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
g b seven,room 1702 building b shuntai plaza no 2000 shunhua rd high tech industrial development zone jinan cn / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
nbjinfuliang plastic technology 138th ningci east,road ningbo 315021 china cn / China,China,"Natural steatite, not crushed or powdered",252610,,,,,,,,,,
